173|L'Orfeo
185|Missa Papae Marcelli
173|Vespro della Beata Vergine
134|Missa Pange lingua
155|Messe de Nostre Dame
260|Spem in Alium
302|Madrigals, Book 6
303|Viderunt omnes
32|Mystery (Rosary) Sonatas
198|Dido and Aeneas
181|Missa Prolationum
48|Mass for 5 Voices
173|Madrigals, Book 8 (Madrigali guerrieri, et amorosi)
273|Officium defunctorum
12|Miserere
302|Tenebrae Responsoria
260|Lamentations of Jeremiah
304|Nuper rosarum flores
305|Ordo virtutum
134|Missa L'homme armé super voces musicales
75|Second Booke of Songes
48|Mass for 4 Voices
181|Requiem (Missa pro defunctis)
47|Membra Jesu nostri
54|Te Deum
9|Cantigas de Santa Maria
306|Sacrae Symphoniae
307|Lagrime di San Pietro
303|Sederunt principes
239|Musikalische Exequien
48|My Ladye Nevells Booke
308|Missa Gloria tibi Trinitas
75|Lachrimae, or Seaven Teares
307|Prophetiae Sibyllarum
185|Stabat mater
273|Tenebrae Responsoria
302|Madrigals, Book 5
309|Carmina Burana
310|C309 in D
173|Selva morale e spirituale
155|Songs from Le Voir Dit
311|Codex Chantilly
312|Terpsichore
304|Missa L'homme armé
313|Missa Et ecce terrae motus
314|Missa Caput
91|Fiori musicali
32|Battalia a 10
315|Je prens congie a 8
185|Canticum canticorum
309|Llibre Vermell de Montserrat
309|Tournai Mass
316|Missa pro defunctis
317|Stabat mater
173|L'incoronazione di Poppea
198|Hail, bright Cecilia! (Ode for St. Cecilia's Day)
181|Missa Mi-Mi
134|Missa Hercules dux Ferrariae
318|Madrigals, Book 5
152|Armide
319|Danserye
320|Fantasia cromatica, SwWV 258
155|La Remede de Fortune
321|Madrigals from Musica Nova
306|Symphoniae Sacrae II
322|Suite XX in D, FbWV 620
323|Le nuove musiche
324|Missa Ecco si beato giorno
325|Requiem
32|Missa Salisburgensis
326|Ballate (Ecco la primavera, Conviens' a fede, Questa fanciull' Amor)
309|Codex las Huelgas
307|Penitential Psalms
327|Viderunt omnes
328|Requiem
304|Missa Se la face ay pale
329|Euridice
330|Missa de Apostolis
75|First Booke of Songes
331|Instrucción de Música sobre la Guitarra Española
332|Curtio precipitato et altri capricii, libro secondo, op.13
333|Jeu de Robin et Marion
334|Missa in myne zyn
335|Libro de Música de Vihuela de mano (El Maestro)
309|Le Manuscrit du Roi - Estampies & Danses Royales
336|Missa Pastores quidnam vidistis
337|Cries of London
239|Weihnachtshistorie
47|Toccata in D minor, BuxWV 155
315|Media vita a 6
338|Missa Ave Maria
339|Miracles of Notre Dame
309|Codex Calixtinus
181|Deo gratias
340|Nesciens Mater
341|Opus Musicum
173|Il ritorno d'Ulisse in patria
342|Can vei la lauzeta mover
198|Funeral Music for Queen Mary
32|Requiem a 15 in A
305|Symphonia armonie celestium revelationum
343|Veni Sancte Spiritus
344|In Nomine IX (for keyboard)
345|Missa Praeter rerum seriem
311|Codex Faenza
75|Lute music (Frogg Galliard, Tarleton's Resurrection)
346|Missa Veni sancte spiritus
347|Western Wynde Mass
348|Rappresentatione di Anima, et di Corpo
134|Miserere mei Deus
349|Requiem for 6 voices
185|Missa Assumpta est Maria
350|Maddalena ai piedi di Cristo
308|Western Wynde Mass
351|10 Toccatas
352|L'Amfiparnaso
309|Cant de la Sibilla
173|Madrigals, Book 5
309|Codex Montpellier
309|Sumer is icumen in
239|Geistliche Chormusik
54|Leçons de Ténèbres
353|Cantigas de amigo
155|Douce dame jolie
354|Una panthera
355|San Giovanni Battista
356|Fontana d'Israel (Israels Brünnlein)
357|Ach, dass ich Wassers genug hatte (Lamento)
358|Le Chant des Oyseaulx
359|La Calisto
360|Jephte
307|Cantiones sacrae a 6 (1594)
314|Missa Maria Zart
361|Barca di Venetia per Padova
181|Missa Cuiusvis Toni
362|Obras de Música
309|Ludus Danielis
363|Madrigals
364|Chansons (Triste plaisir, Dueil angoisseus)
134|Nymphes des bois
365|Violin sonatas, op.3
310|Hexachordium Apollinis
366|Media vita
239|Psalmen Davids
198|The Fairy Queen
315|Magnificats (8)
367|Pièces de clavecin
368|Consort Setts a 5 and 6 (to the organ)
155|Je vivroie liement
369|Motets
304|Salve flos Tusce gentis
302|Miserere
370|Missa L'homme armé
371|Mass for 24 voices
54|Messe de minuit pour Noël
47|Ciacona in C, BuxWV 159
322|Lamentation faite sur la mort de Ferdinand III, FbWV 633
304|Missa Ave regina caelorum
309|Roman de Fauvel
152|Benedictus
181|Missa L'homme armé
325|Missa L'Homme armé
